Date,Comparison_Type
20170101,0
20170102,15
20170103,0
20170104,0
20170105,0
20170106,30
20170107,0
20170108,0
20170109,0
20170110,15
20170111,0
20170112,0
20170113,30
20170114,0
20170115,0
20170116,0
20170117,15
20170118,0
20170119,0
20170120,30
20170121,0
20170122,0
20170123,15
20170124,0
20170125,0
20170126,0
20170127,30
20170128,0
20170129,0
20170130,15
20170131,0
20170201,0
20170202,0
20170203,30
20170204,0
20170205,0
20170206,15
20170207,0
20170208,0
20170209,0
20170210,30
20170211,0
20170212,0
20170213,15
20170214,0
20170215,0
20170216,0
20170217,30
20170218,0
20170219,0
20170220,0
20170221,15
20170222,0
20170223,0
20170224,30
20170225,0
20170226,0
20170227,0
20170228,15
20170301,0
20170302,0
20170303,30
20170304,0
20170305,0
20170306,0
20170307,15
20170308,0
20170309,0
20170310,30
20170311,0
20170312,0
20170313,0
20170314,15
20170315,0
20170316,0
20170317,30
20170318,0
20170319,0
20170320,0
20170321,15
20170322,0
20170323,0
20170324,30
20170325,0
20170326,0
20170327,0
20170328,15
20170329,0
20170330,0
20170331,30
20170401,0
20170402,0
20170403,15
20170404,0
20170405,0
20170406,0
20170407,30
20170408,0
20170409,0
20170410,0
20170411,15
20170412,0
20170413,0
20170414,30
20170415,0
20170416,0
20170417,0
20170418,15
20170419,0
20170420,0
20170421,30
20170422,0
20170423,0
20170424,0
20170425,30
20170426,0
20170427,0
20170428,30
20170429,0
20170430,0
20170501,0
20170502,15
20170503,0
20170504,0
20170505,30
20170506,0
20170507,0
20170508,0
20170509,30
20170510,0
20170511,0
20170512,30
20170513,0
20170514,0
20170515,0
20170516,15
20170517,0
20170518,0
20170519,30
20170520,0
20170521,0
20170522,15
20170523,0
20170524,0
20170525,0
20170526,30
20170527,0
20170528,0
20170529,0
20170530,15
20170531,0
20170601,0
20170602,30
20170603,0
20170604,0
20170605,0
20170606,15
20170607,0
20170608,0
20170609,30
20170610,0
20170611,0
20170612,0
20170613,15
20170614,0
20170615,0
20170616,30
20170617,0
20170618,0
20170619,0
20170620,15
20170621,0
20170622,0
20170623,30
20170624,0
20170625,0
20170626,15
20170627,0
20170628,0
20170629,0
20170630,30
20170701,0
20170702,0
20170703,0
20170704,20
20170705,0
20170706,0
20170707,30
20170708,0
20170709,0
20170710,0
20170711,15
20170712,0
20170713,0
20170714,30
20170715,0
20170716,0
20170717,0
20170718,15
20170719,0
20170720,0
20170721,30
20170722,0
20170723,0
20170724,0
20170725,15
20170726,0
20170727,0
20170728,30
20170729,0
20170730,0
20170731,0
20170801,15
20170802,0
20170803,0
20170804,30
20170805,0
20170806,0
20170807,0
20170808,15
20170809,0
20170810,0
20170811,30
20170812,0
20170813,0
20170814,0
20170815,20
20170816,0
20170817,0
20170818,30
20170819,0
20170820,0
20170821,0
20170822,15
20170823,0
20170824,0
20170825,30
20170826,0
20170827,0
20170828,15
20170829,0
20170830,0
20170831,0
20170901,30
20170902,0
20170903,0
20170904,0
20170905,15
20170906,0
20170907,0
20170908,30
20170909,0
20170910,0
